main_author_orcid,openalex_id,title,publication_year,publication_date,doi,type,cited_by_count,journal,topics,co_authors,co_author_orcids,num_co_authors,abstract,keywords
0000-0002-2950-0864,W2156703118,Completeness Results for Lambek Syntactic Calculus,1986,1986-01-01,https://doi.org/10.1002/malq.19860320104,article,98,Mathematical logic quarterly,"Advanced Algebra and Logic; Rough Sets and Fuzzy Logic; Logic, Reasoning, and Knowledge",,,0,,Completeness (order theory); Citation; Calculus (dental); Computer science; Artificial intelligence; Mathematics; Library science; Medicine
0000-0002-2950-0864,W2120017950,Compatibility of a Categorial Grammar With an Associated Category System,1982,1982-01-01,https://doi.org/10.1002/malq.19820281407,article,43,Mathematical logic quarterly,Advanced Algebra and Logic; semigroups and automata theory; Natural Language Processing Techniques,,,0,,Categorial grammar; Sentence; Notation; Mathematics; Linguistics; Combinatory categorial grammar; Grammar; Computer science; Artificial intelligence; Natural language processing; Phrase structure rules; Philosophy; Arithmetic; Link grammar; Mildly context-sensitive grammar formalism
0000-0002-2950-0864,W2023695988,Some Decision Problems in the Theory of Syntactic Categories,1982,1982-01-01,https://doi.org/10.1002/malq.19820283308,article,49,Mathematical logic quarterly,"Advanced Algebra and Logic; Logic, Reasoning, and Knowledge; Rough Sets and Fuzzy Logic",,,0,,Citation; Computer science; Information retrieval; Library science
0000-0002-2950-0864,W2090146470,The Equivalence of Unidirectional Lambek Categorial Grammars and Context‐Free Grammars,1985,1985-01-01,https://doi.org/10.1002/malq.19850312402,article,47,Mathematical logic quarterly,"semigroups and automata theory; Advanced Algebra and Logic; Logic, Reasoning, and Knowledge",,,0,,Rule-based machine translation; Equivalence (formal languages); Categorial grammar; Computer science; Context (archaeology); Tree-adjoining grammar; Indexed grammar; L-attributed grammar; Artificial intelligence; Natural language processing; Programming language; Mathematics; Context-free grammar; Discrete mathematics; History
0000-0002-2950-0864,W79238972,Categorial Grammars with Negative Information,1996,1996-03-04,https://doi.org/10.1515/9783110876802.107,book-chapter,17,,Natural Language Processing Techniques; DNA and Biological Computing; semigroups and automata theory,,,0,,Rule-based machine translation; Computer science; Combinatory categorial grammar; Tree-adjoining grammar; Natural language processing; Artificial intelligence; Context-free grammar
0000-0002-2950-0864,W1977671303,Algebraic structures in categorial grammar,1998,1998-06-01,https://doi.org/10.1016/s0304-3975(97)00266-1,article,12,Theoretical Computer Science,"Logic, programming, and type systems; semigroups and automata theory; Natural Language Processing Techniques",,,0,,Combinatory categorial grammar; Categorial grammar; Mildly context-sensitive grammar formalism; Mathematics; Link grammar; Grammar; Computer science; Programming language; Algebra over a field; Algebraic number; Linguistics; Head-driven phrase structure grammar; Emergent grammar; Pure mathematics; Philosophy
0000-0002-2950-0864,W2494344937,Three theories of categorial grammar,1988,1988-01-01,https://doi.org/10.1075/llsee.25.07bus,book-chapter,12,"Linguistic & literary studies in Eastern Europe, LLSEE","Syntax, Semantics, Linguistic Variation; Translation Studies and Practices; Linguistic Variation and Morphology",,,0,,Categorial grammar; Combinatory categorial grammar; Linguistics; Grammar; Mildly context-sensitive grammar formalism; Mathematics; Computer science; Natural language processing; Emergent grammar; Philosophy
0000-0002-2950-0864,W2141635030,On generative capacity of the Lambek calculus,1991,1991-01-01,https://doi.org/10.1007/bfb0018438,book-chapter,11,Lecture notes in computer science,"Logic, programming, and type systems; Computability, Logic, AI Algorithms; Logic, Reasoning, and Knowledge",,,0,,Computer science; Generative grammar; Calculus (dental); Generative model; Situation calculus; Artificial intelligence
0000-0002-2950-0864,W2081200269,Undecidability of some logical extensions of Ajdukiewicz-Lambek calculus,1978,1978-03-01,https://doi.org/10.1007/bf02123613,article,7,Studia Logica,"Logic, Reasoning, and Knowledge; Advanced Algebra and Logic; Logic, programming, and type systems",,,0,,Calculus (dental); Computational linguistics; Mathematics; Algebra over a field; Computer science; Linguistics; Philosophy; Pure mathematics; Artificial intelligence
0000-0002-2950-0864,W2014390237,Pregroup grammars with letter promotions: Complexity and context-freeness,2011,2011-12-23,https://doi.org/10.1016/j.jcss.2011.12.010,article,3,Journal of Computer and System Sciences,semigroups and automata theory; Algorithms and Data Compression; Natural Language Processing Techniques,Zhe Lin,0000-0002-3828-8754,1,,Rule-based machine translation; Combinatorics; Indexed grammar; Phrase structure grammar; Computer science; Context-free grammar; Discrete mathematics; Tree-adjoining grammar; Mathematics; Context-sensitive grammar; Time complexity; Context (archaeology); Embedded pushdown automaton; Artificial intelligence
