orcid,name,n_papers,stab5_mean,stab5_min,silhouette_max,best_k,decision,n_points
0000-0002-2950-0864,prof. dr hab. Wojciech Buszkowski,49,0.99582505941391,0.9914324283599854,0.12710829079151154,2,SINGLE,1
0000-0002-8578-8997,dr Andrzej Kokosza,5,1.0000000369548798,1.0,0.4018145501613617,2,MULTI,2
0000-0001-5712-8513,dr inż. Piotr Mizerka,18,0.9954910904169084,0.979852259159088,0.4768611192703247,5,MULTI,5
0000-0002-7125-6113,dr Hubert Przybycień,2,,,,1,LOW_CONF,1
0000-0002-2392-4869,prof. dr hab. Roman Murawski,100,0.9949208980798722,0.9783213138580322,0.1547839194536209,5,MULTI,5
0000-0003-4265-7353,dr Janusz Przewocki,14,0.9898301440477372,0.9632358551025392,0.5364248752593994,4,MULTI,4
0000-0002-2445-2189,dr Paweł Duch,15,0.9926943278312684,0.9770910739898682,0.3750588297843933,5,MULTI,5
0000-0001-6024-6852,Jacek Kałużny,2,,,,1,LOW_CONF,1
0009-0000-1234-6728,mgr Dominika Grajewska,2,,,,1,LOW_CONF,1
0000-0001-6868-8815,dr Abhishek Goswami,19,0.988558144569397,0.9426370859146118,0.46825385093688965,2,MULTI,2
0009-0001-9764-4798,Jan Wojciech Nowak,69,0.9934465885162354,0.9860968589782716,0.3185312747955322,2,MULTI,2
0000-0002-3517-9034,prof. dr hab. Tomasz Łuczak,179,0.991019937992096,0.9588577747344972,0.16230876743793488,2,MULTI,2
0000-0002-9969-5257,prof. UAM dr hab. Tomasz Górecki,114,0.9904623001813888,0.976957380771637,0.182562917470932,3,MULTI,3
0000-0002-1648-6987,prof. dr hab. Stanisław Gawiejnowicz,54,0.9961943227052688,0.9926642775535583,0.09158109873533249,5,SINGLE,1
0000-0003-2255-9449,prof. UAM dr hab. Mieczysław Cichoń,49,0.996522945165634,0.9922590255737304,0.10040242224931717,2,SINGLE,1
0000-0002-2897-3176,prof. UAM dr hab. Krzysztof Dyczkowski,62,0.991720222234726,0.9772634506225586,0.21683034300804138,5,MULTI,5
0000-0003-1385-6572,dr Andrzej Wójtowicz,19,0.993931650519371,0.9856339693069458,0.29507020115852356,5,MULTI,5
0000-0001-6988-5407,dr inż. Anna Pankowska,22,0.9935061168670656,0.9826478362083436,0.25963860750198364,3,MULTI,3
0000-0002-4182-4386,dr Barbara Kołodziejczak,51,0.9906035959720612,0.9771980047225952,0.3612411320209503,4,MULTI,4
0000-0002-6613-9078,prof. UAM dr hab. Aneta Sikorska-Nowak,23,0.9973866188526154,0.9943937659263612,0.12928688526153564,3,SINGLE,1
0000-0002-2374-346X,dr Wojciech Piotr Pałubicki,50,0.990696074962616,0.970160186290741,0.23976249992847443,3,MULTI,3
0000-0002-1186-9612,prof. UAM dr hab. Jacek Marciniak,29,0.9924454420804978,0.9740981459617616,0.4876420199871063,2,MULTI,2
0000-0003-3542-8982,prof. UAM dr hab. Patryk Żywica,26,0.993905834555626,0.9781224131584167,0.2650747299194336,4,MULTI,4
0000-0003-2120-2595,prof. UAM dr hab. Joanna Helena Berlińska,20,0.997545566558838,0.9935637712478638,0.2515007257461548,5,MULTI,5
0000-0002-0777-9163,prof. UAM dr hab. Waldemar Wołyński,43,0.9941646885871888,0.9868313074111938,0.15219932794570923,2,MULTI,2
0000-0002-4927-9992,dr Dominik Filipiak,29,0.9928150671720504,0.9759154915809632,0.32992085814476013,4,MULTI,4
0000-0003-1807-0704,prof. UAM dr hab. Piotr Maćkowiak,36,0.9923673325777054,0.9751043319702148,0.30929243564605713,2,MULTI,2
0000-0002-0742-7694,prof. dr hab. Andrzej Ruciński,199,0.9904828751087188,0.9787060022354126,0.38316288590431213,2,MULTI,2
0000-0003-0955-4571,dr inż. Marcin Witkowski,14,0.9962748450040816,0.9924081563949584,0.3382865786552429,5,MULTI,5
0000-0002-9427-3127,prof. dr hab. Tomasz Schoen,56,0.995071860551834,0.9882192611694336,0.30868884921073914,2,MULTI,2
0000-0002-0760-0637,prof. UAM dr hab. Maciej Łuczak,16,0.995385249853134,0.9860680103302002,0.26729586720466614,2,MULTI,2
0000-0002-4777-2556,prof. UAM dr hab. Joanna Polcyn-Lewandowska,37,0.9975257623195648,0.9940584301948548,0.235224187374115,5,MULTI,5
0000-0002-4958-0435,prof. UAM dr hab. Radosław Szwedek,10,0.9980867648124696,0.9964435696601868,0.2830454111099243,2,MULTI,2
0000-0003-1206-2076,dr Tomasz Kazimierz Piłka,19,0.9949595826864244,0.9838303327560424,0.3969586193561554,3,MULTI,3
0000-0003-2654-9934,prof. UAM dr hab. Piotr Kasprzak,20,0.9953369361162184,0.9906558394432068,0.4251573085784912,2,MULTI,2
0000-0002-2016-2598,dr Marek Kubis,28,0.9954211854934693,0.98880934715271,0.29131144285202026,5,MULTI,5
0000-0001-7868-2791,dr Sylwia Antoniuk,18,0.9953690767288208,0.987991452217102,0.4011631906032562,5,MULTI,5
0000-0002-2442-8816,prof. UAM dr hab. Łukasz Smaga,66,0.993315182328224,0.9711132049560548,0.301548570394516,2,MULTI,2
0000-0002-5056-2808,dr Paweł Marek Skórzewski,15,0.9963678807020188,0.9891507625579834,0.3623432219028473,3,MULTI,3
0000-0003-0596-0919,dr Arkadiusz Hypki,51,0.9951201277971268,0.9768165946006776,0.37634530663490295,2,MULTI,2
0000-0002-7549-993X,dr Jędrzej Garnek,11,0.9967486864328384,0.9908138513565063,0.37217310070991516,2,MULTI,2
0000-0003-2019-2284,prof. dr hab. Mieczysław Mastyło,126,0.9961184900999068,0.985492467880249,0.22023454308509827,2,MULTI,2
0000-0002-6285-2140,prof. dr hab. Dariusz Bugajewski,45,0.9957577085494996,0.987514078617096,0.24789448082447052,3,MULTI,3
0000-0002-6185-6115,dr inż. Marcin Michał Szczepański,5,1.0,1.0,0.3181885778903961,3,MULTI,3
0000-0001-9540-1293,dr Paweł Mleczko,14,0.9983296006917952,0.9954519867897034,0.1918252855539322,2,MULTI,2
0000-0002-8521-2525,dr Wojciech Wawrzyniak,11,0.9981293392181396,0.9969768524169922,0.4898993670940399,2,MULTI,2
0000-0003-1333-6438,dr Mirosława Kołowska-Gawiejnowicz,9,0.9949683970212936,0.9806644320487976,0.4948192238807678,2,MULTI,2
0000-0002-6132-651X,Bartłomiej Grzelak,9,0.9985515207052232,0.9953877925872804,0.4741919934749603,3,MULTI,3
0000-0002-5171-4009,prof. UAM dr hab. Aldona Dutkiewicz,31,0.9934410947561264,0.9788214564323424,0.42712029814720154,3,MULTI,3
0000-0001-6120-083X,prof. UAM dr hab. Michał Hanćkowiak,22,0.9980287009477616,0.9931297302246094,0.21183179318904877,2,MULTI,2
0000-0001-8714-096X,dr Łukasz Damian Szymula,22,0.9974714607000352,0.9915116429328918,0.4310153126716614,2,MULTI,2
0000-0001-8066-4533,prof. UAM dr hab. Filip Graliński,62,0.994637307524681,0.9862897396087646,0.18233509361743927,3,MULTI,3
0000-0001-8827-3318,dr Rafał Tomasz Jaworski,18,0.9945763385295868,0.9820685386657716,0.3103484809398651,2,MULTI,2
0000-0002-7889-4505,dr Joanna Siwek,19,0.9937168043851852,0.981104016304016,0.38680487871170044,2,MULTI,2
0000-0002-6981-5959,dr Irakli Kardava,6,0.9991841274499892,0.998544216156006,0.20712034404277802,2,MULTI,2
0000-0001-7176-8330,prof. UAM dr hab. Zbigniew Palka,19,0.994966989159584,0.9866044521331788,0.3961271345615387,5,MULTI,5
0000-0003-4520-6451,prof. dr hab. Jerzy Jaworski,55,0.994145171046257,0.977317750453949,0.2597354054450989,5,MULTI,5
0000-0002-7129-5059,Aleksandra Sadurska,5,0.9999999552965164,0.9999998807907104,0.5379356741905212,2,MULTI,2
0000-0001-7122-9206,prof. UAM dr hab. Krzysztof Jassem,39,0.9951602166891098,0.9889805912971495,0.26492857933044434,2,MULTI,2
0000-0002-7252-0721,prof. UAM dr hab. Daria Barbara Bugajewska,16,0.997369545698166,0.9932365417480468,0.1924370527267456,3,MULTI,3
0000-0001-8568-7494,prof. UAM dr hab. Maciej Radziejewski,33,0.9896638983488084,0.960851550102234,0.46693989634513855,2,MULTI,2
0009-0002-4821-3809,dr inż. Łukasz Michalak,20,0.9895857441425324,0.962088108062744,0.5102922320365906,2,MULTI,2
0000-0001-5455-1906,prof. UAM dr hab. Andrzej Sołtysiak,12,0.9973094189167022,0.993566393852234,0.2637590765953064,2,MULTI,2
0000-0003-1808-3222,Azam Jahandideh,2,,,,1,LOW_CONF,1
0000-0002-9767-2879,prof. UAM dr hab. Maciej Grześkowiak,17,0.9970963263511656,0.992678701877594,0.251539409160614,2,MULTI,2
0000-0002-5114-4210,prof. UAM dr Edyta Maria Juskowiak,5,0.9999999994039536,0.9999999403953552,0.1866101771593094,2,MULTI,2
0000-0003-1010-1430,prof. UAM dr hab. Michał Jasiczak,23,0.9972292470932008,0.99296373128891,0.1626679003238678,2,MULTI,2
0000-0002-5732-2743,prof. UAM dr hab. Krzysztof Piszczek,25,0.9964464408159256,0.9908394813537598,0.253132700920105,4,MULTI,4
0000-0002-3536-9102,prof. UAM dr hab. Radosław Kaczmarek,14,0.9983698207139968,0.9973644018173218,0.14806362986564636,2,SINGLE,1
0000-0002-3445-2422,prof. dr hab. Tomasz Kubiak,35,0.9964898282289504,0.9927492141723632,0.11952507495880127,5,SINGLE,1
0000-0001-5386-5487,dr inż. Michał Krzysztof Ren,1,,,,1,LOW_CONF,1
0000-0003-4242-9705,Michał Turski,5,1.0,1.0,0.6455892324447632,3,MULTI,3
0000-0003-3501-0164,prof. UAM dr hab. Marek Wisła,15,0.9977496957778932,0.9951326847076416,0.11815806478261948,3,SINGLE,1
0000-0002-3998-6482,prof. UAM dr hab. Katarzyna Rybarczyk-Krzywdzińska,38,0.9940076220035552,0.9763868451118468,0.33496958017349243,2,MULTI,2
0000-0002-0153-8406,prof. UAM dr hab. Łukasz Pańkowski,42,0.9922430515289308,0.9640148282051086,0.5214518308639526,2,MULTI,2
0000-0002-5395-3038,dr Adam Przestacki,11,0.9983653110265732,0.996080756187439,0.2927446663379669,4,MULTI,4
0000-0001-5016-1433,dr Michał Goliński,5,0.999999943971634,0.9999999403953552,0.41952037811279297,3,MULTI,3
0000-0001-7119-7814,dr Tomasz Ciaś,11,0.997214921116829,0.987573504447937,0.584276556968689,2,MULTI,2
0000-0003-2484-143X,dr Bartosz Naskręcki,29,0.9936006754636764,0.9792597889900208,0.3205786943435669,4,MULTI,4
0000-0001-9360-3502,mgr inż. Piotr Adam Jabłoński,5,0.9999999916553496,0.9999999403953552,0.6321965456008911,2,MULTI,2
0000-0001-8283-7872,dr Bartłomiej Przybylski,15,0.9952850043773652,0.9844664335250854,0.32357674837112427,3,MULTI,3
0000-0002-9919-6757,dr Dorota Janina Blinkiewicz,7,0.9973880296945572,0.994088053703308,0.27578333020210266,4,MULTI,4
0000-0002-1365-8587,dr Katarzyna Taczała,1,,,,1,LOW_CONF,1
0000-0003-4036-3044,dr Michał Rzeczkowski,7,0.999473648071289,0.9991335272789,0.18703341484069824,4,MULTI,4
0000-0001-8379-9484,prof. UAM dr hab. William Mance,46,0.9960033309459686,0.9893916845321656,0.3028236925601959,2,MULTI,2
0000-0002-6454-183X,dr Marcin Jan Żurowski,5,1.0000000011920929,1.0,0.5372029542922974,2,MULTI,2
0000-0002-7336-0993,prof. UAM dr hab. Sebastian Mariusz Król,21,0.9971510183811187,0.992648720741272,0.3263528347015381,5,MULTI,5
0000-0002-6190-6522,prof. UAM dr hab. Wojciech Dybalski,51,0.9930909097194672,0.9841448664665222,0.1452208012342453,4,AMBIGUOUS,1
0000-0001-5494-0266,dr Adam Nawrocki,8,0.9983952087163924,0.9953592419624328,0.5734968185424805,2,MULTI,2
0000-0002-9147-3545,prof. UAM dr hab. Karol Leśnik,26,0.9972920662164688,0.9944500923156738,0.17125821113586426,5,MULTI,5
0000-0002-8311-2117,prof. dr hab. Jerzy Kąkol,160,0.9958196723461152,0.988760769367218,0.3994820713996887,2,MULTI,2
0000-0002-5492-3383,prof. UAM dr hab. Marek Nawrocki,14,0.996986998319626,0.9930183291435242,0.20535244047641754,2,MULTI,2
0000-0002-9763-1452,prof. dr hab. Krzysztof Pawałowski,15,0.9946351224184036,0.9863063097000122,0.47375771403312683,2,MULTI,2
0000-0001-6087-3610,prof. UAM dr hab. Tomasz Szulc,10,0.9981627237796784,0.9954363107681274,0.3392654061317444,2,MULTI,2
0000-0003-4833-8601,prof. dr hab. Zygmunt Vetulani,33,0.9934594190120696,0.98669171333313,0.3650665879249573,2,MULTI,2
0000-0002-7484-2900,prof. dr hab. Leszek Skrzypczak,69,0.995987624526024,0.9852968454360962,0.5862081050872803,2,MULTI,2
0000-0002-0608-0801,dr inż. Dawid Ewald,20,0.9935583621263504,0.9861013293266296,0.32109448313713074,5,MULTI,5
0000-0003-0015-9348,prof. UAM dr hab. Jerzy Grzybowski,45,0.9958978831768036,0.9916682839393616,0.4463938772678375,2,MULTI,2
0000-0003-1045-122X,prof. dr hab. Jerzy Kaczorowski,92,0.9916458463668824,0.9642279744148254,0.5366395711898804,2,MULTI,2
0000-0001-8066-4525,prof. dr hab. Witold Wnuk,20,0.9943802917003632,0.977996587753296,0.2963641285896301,2,MULTI,2
0000-0003-4604-4984,Mateusz Litka,2,,,,1,LOW_CONF,1
0000-0002-8957-9594,prof. UAM dr hab. Artur Michalak,11,0.99644466817379,0.994735598564148,0.5704897046089172,2,MULTI,2
0000-0003-0270-5664,prof. dr hab. Wojciech Gajda,30,0.9960140538215636,0.9917497634887696,0.17170697450637817,5,MULTI,5
0000-0002-1867-0964,prof. dr hab. Grzegorz Marian Banaszak,47,0.9931405943632126,0.9805880784988404,0.23429900407791138,2,MULTI,2
0000-0003-2299-0888,Krzysztof Koczorowski,1,,,,1,LOW_CONF,1
0000-0001-5933-9955,prof. dr hab. Wacław Bolesław Marzantowicz,54,0.9943519562482834,0.9871604442596436,0.2329125702381134,2,MULTI,2
0000-0003-4473-0008,dr inż. Artur Adam Nowakowski,12,0.9963169246912004,0.9925912618637084,0.3835292160511017,2,MULTI,2
0000-0003-2906-844X,prof. UAM dr hab. Paweł Foralewski,18,0.9976118344068527,0.994120478630066,0.28561848402023315,2,MULTI,2
0000-0002-1829-2289,dr Jolanta Marzec-Ballesteros,6,0.9997248470783232,0.9994184970855712,0.509108304977417,4,MULTI,4
0000-0001-8183-6157,dr Sohail Farhangi,16,0.9958917528390884,0.9895100593566896,0.2524479031562805,2,MULTI,2
0000-0002-2723-3790,Janik Kruse,5,1.0,1.0,0.6062240600585938,3,MULTI,3
0000-0002-7545-5152,Michał Piotr Junczyk,3,,,,1,LOW_CONF,1
0000-0002-5981-1057,dr Vitalii Marchenko,8,0.9979822909832,0.9958325028419496,0.4667890667915344,2,MULTI,2
0000-0003-0184-6211,Arturo Espinosa Baro,7,0.9988410484790802,0.9964441061019896,0.8149724006652832,4,MULTI,4
0000-0003-0381-0351,Grzegorz Adamski,13,0.9942739993333816,0.983999729156494,0.5428727269172668,2,MULTI,2
