orcid,name,n_papers,stab5_mean,stab5_std,stab5_min
0000-0002-0742-7694,prof. dr hab. Andrzej Ruciński,199,0.9904828751087189,0.004187485621879599,0.9787060022354126
0000-0002-3517-9034,prof. dr hab. Tomasz Łuczak,179,0.991019937992096,0.004938769311707391,0.9588577747344971
0000-0002-8311-2117,prof. dr hab. Jerzy Kąkol,160,0.9958196723461151,0.0018331176504789808,0.988760769367218
0000-0003-2019-2284,prof. dr hab. Mieczysław Mastyło,126,0.9961184900999069,0.0016595885782241496,0.985492467880249
0000-0002-9969-5257,prof. UAM dr hab. Tomasz Górecki,114,0.9904623001813888,0.003332990178139881,0.976957380771637
0000-0002-2392-4869,prof. dr hab. Roman Murawski,100,0.9949208980798722,0.0024289322915933185,0.9783213138580322
0000-0003-1045-122X,prof. dr hab. Jerzy Kaczorowski,92,0.9916458463668824,0.004718872249252119,0.9642279744148254
0009-0001-9764-4798,Jan Wojciech Nowak,69,0.9934465885162354,0.0020808928703949093,0.9860968589782715
0000-0002-7484-2900,prof. dr hab. Leszek Skrzypczak,69,0.9959876245260239,0.0020228762521307636,0.9852968454360962
0000-0002-2442-8816,prof. UAM dr hab. Łukasz Smaga,66,0.9933151823282241,0.0032534186092206567,0.9711132049560547
0000-0002-2897-3176,prof. UAM dr hab. Krzysztof Dyczkowski,62,0.991720222234726,0.003473857480216452,0.9772634506225586
0000-0001-8066-4533,prof. UAM dr hab. Filip Graliński,62,0.994637307524681,0.0020945173680905274,0.9862897396087646
0000-0002-9427-3127,prof. dr hab. Tomasz Schoen,56,0.995071860551834,0.001864397709414713,0.9882192611694336
0000-0003-4520-6451,prof. dr hab. Jerzy Jaworski,55,0.994145171046257,0.0030396983750059976,0.977317750453949
0000-0001-5933-9955,prof. dr hab. Wacław Bolesław Marzantowicz,54,0.9943519562482834,0.002304932593515998,0.9871604442596436
0000-0002-1648-6987,prof. dr hab. Stanisław Gawiejnowicz,54,0.9961943227052689,0.0010215676110405306,0.9926642775535583
0000-0002-6190-6522,prof. UAM dr hab. Wojciech Dybalski,51,0.9930909097194671,0.0022418140590980394,0.9841448664665222
0000-0003-0596-0919,dr Arkadiusz Hypki,51,0.9951201277971268,0.002976902722191452,0.9768165946006775
0000-0002-4182-4386,dr Barbara Kołodziejczak,51,0.9906035959720612,0.004298050138544635,0.9771980047225952
0000-0002-2374-346X,dr Wojciech Piotr Pałubicki,50,0.9906960749626159,0.004845485981511596,0.970160186290741
0000-0002-2950-0864,prof. dr hab. Wojciech Buszkowski,49,0.9958250594139099,0.0014075344858567275,0.9914324283599854
0000-0003-2255-9449,prof. UAM dr hab. Mieczysław Cichoń,49,0.9965229451656341,0.0012051670854711265,0.9922590255737305
0000-0002-1867-0964,prof. dr hab. Grzegorz Marian Banaszak,47,0.9931405943632126,0.0030578831315316232,0.9805880784988403
0000-0001-8379-9484,prof. UAM dr hab. William Mance,46,0.9960033309459686,0.001886033820701857,0.9893916845321655
0000-0002-6285-2140,prof. dr hab. Dariusz Bugajewski,45,0.9957577085494995,0.001971612170303267,0.987514078617096
0000-0003-0015-9348,prof. UAM dr hab. Jerzy Grzybowski,45,0.9958978831768036,0.001316711869798397,0.9916682839393616
0000-0002-0777-9163,prof. UAM dr hab. Waldemar Wołyński,43,0.9941646885871888,0.002005881054151078,0.9868313074111938
0000-0002-0153-8406,prof. UAM dr hab. Łukasz Pańkowski,42,0.9922430515289307,0.005660624681444852,0.9640148282051086
0000-0001-7122-9206,prof. UAM dr hab. Krzysztof Jassem,39,0.9951602166891098,0.00166005883018178,0.9889805912971497
0000-0002-3998-6482,prof. UAM dr hab. Katarzyna Rybarczyk-Krzywdzińska,38,0.9940076220035553,0.0030973186376864375,0.9763868451118469
0000-0002-4777-2556,prof. UAM dr hab. Joanna Polcyn-Lewandowska,37,0.9975257623195648,0.0009767498386809453,0.9940584301948547
0000-0003-1807-0704,prof. UAM dr hab. Piotr Maćkowiak,36,0.9923673325777054,0.00429664172033228,0.9751043319702148
0000-0002-3445-2422,prof. dr hab. Tomasz Kubiak,35,0.9964898282289505,0.001008195661739918,0.9927492141723633
0000-0003-4833-8601,prof. dr hab. Zygmunt Vetulani,33,0.9934594190120697,0.002343209701062882,0.9866917133331299
0000-0001-8568-7494,prof. UAM dr hab. Maciej Radziejewski,33,0.9896638983488083,0.007385523097293558,0.9608515501022339
0000-0002-5171-4009,prof. UAM dr hab. Aldona Dutkiewicz,31,0.9934410947561264,0.003708855890680523,0.9788214564323425
0000-0003-0270-5664,prof. dr hab. Wojciech Gajda,30,0.9960140538215637,0.0013658152041132645,0.9917497634887695
0000-0002-1186-9612,prof. UAM dr hab. Jacek Marciniak,29,0.9924454420804978,0.003858363007654545,0.9740981459617615
0000-0002-4927-9992,dr Dominik Filipiak,29,0.9928150671720505,0.003031607993166392,0.9759154915809631
0000-0003-2484-143X,dr Bartosz Naskręcki,29,0.9936006754636765,0.0032040598895810893,0.9792597889900208
0000-0002-2016-2598,dr Marek Kubis,28,0.9954211854934693,0.0021064798607533684,0.98880934715271
0000-0003-3542-8982,prof. UAM dr hab. Patryk Żywica,26,0.9939058345556259,0.0028405031532852455,0.9781224131584167
0000-0002-9147-3545,prof. UAM dr hab. Karol Leśnik,26,0.9972920662164688,0.0007916348532113148,0.9944500923156738
0000-0002-5732-2743,prof. UAM dr hab. Krzysztof Piszczek,25,0.9964464408159256,0.0013741257531065109,0.9908394813537598
0000-0002-6613-9078,prof. UAM dr hab. Aneta Sikorska-Nowak,23,0.9973866188526154,0.0006850349687154217,0.9943937659263611
0000-0003-1010-1430,prof. UAM dr hab. Michał Jasiczak,23,0.9972292470932007,0.0009306852482962272,0.9929637312889099
0000-0001-6120-083X,prof. UAM dr hab. Michał Hanćkowiak,22,0.9980287009477615,0.0009375115287072595,0.9931297302246094
0000-0001-6988-5407,dr inż. Anna Pankowska,22,0.9935061168670655,0.0029911464675501788,0.9826478362083435
0000-0001-8714-096X,dr Łukasz Damian Szymula,22,0.9974714607000351,0.0013494160003644782,0.9915116429328918
0000-0002-7336-0993,prof. UAM dr hab. Sebastian Mariusz Król,21,0.9971510183811187,0.0011345621286321596,0.992648720741272
0000-0003-2654-9934,prof. UAM dr hab. Piotr Kasprzak,20,0.9953369361162185,0.0018892581651388048,0.9906558394432068
0009-0002-4821-3809,dr inż. Łukasz Michalak,20,0.9895857441425323,0.007719564982256306,0.9620881080627441
0000-0003-2120-2595,prof. UAM dr hab. Joanna Helena Berlińska,20,0.9975455665588379,0.0009844190594148169,0.9935637712478638
0000-0002-0608-0801,dr inż. Dawid Ewald,20,0.9935583621263504,0.0025335771968831625,0.9861013293266296
0000-0001-8066-4525,prof. dr hab. Witold Wnuk,20,0.9943802917003631,0.0028510535475415734,0.9779965877532959
0000-0001-6868-8815,dr Abhishek Goswami,19,0.988558144569397,0.009190817970776071,0.9426370859146118
0000-0001-7176-8330,prof. UAM dr hab. Zbigniew Palka,19,0.994966989159584,0.0021018112976304484,0.9866044521331787
0000-0003-1385-6572,dr Andrzej Wójtowicz,19,0.993931650519371,0.002362007191708978,0.9856339693069458
0000-0003-1206-2076,dr Tomasz Kazimierz Piłka,19,0.9949595826864243,0.0031179015361355532,0.9838303327560425
0000-0002-7889-4505,dr Joanna Siwek,19,0.9937168043851853,0.0036835328488480645,0.9811040163040161
0000-0001-5712-8513,dr inż. Piotr Mizerka,18,0.9954910904169083,0.002980204336552836,0.9798522591590881
0000-0001-7868-2791,dr Sylwia Antoniuk,18,0.9953690767288208,0.002081174838700098,0.987991452217102
0000-0003-2906-844X,prof. UAM dr hab. Paweł Foralewski,18,0.9976118344068527,0.0009357598452984318,0.9941204786300659
