profile_id,full_name,academic_title,first_name,last_name,position,profile_url,image_url,affiliations
UAM12847,prof. dr hab. Wojciech Buszkowski,prof. dr hab.,Wojciech,Buszkowski,profesor Senior,https://researchportal.amu.edu.pl/info/author/UAM12847?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BWojciech%2BBuszkowski%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych
UAM26963,dr Wiesław Kurc,dr,Wiesław,Kurc,st. wykładowca,https://researchportal.amu.edu.pl/info/author/UAM26963?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BWies%25C5%2582aw%2BKurc%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych
D448311-DD-Mat,dr Andrzej Kokosza,dr,Andrzej,Kokosza,,https://researchportal.amu.edu.pl/info/author/D448311-DD-Mat?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BAndrzej%2BKokosza%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych
UAM99822,dr Piotr Majcher,dr,Piotr,Majcher,adiunkt,https://researchportal.amu.edu.pl/info/author/UAM99822?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BPiotr%2BMajcher%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych
D372001-DD-Mat,Joanna Kończak,,Kończak,,,https://researchportal.amu.edu.pl/info/author/D372001-DD-Mat?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BJoanna%2BKo%25C5%2584czak%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych
D433412-DD-Mat,dr inż. Piotr Mizerka,dr inż.,Piotr,Mizerka,adiunkt,https://researchportal.amu.edu.pl/info/author/D433412-DD-Mat?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BPiotr%2BMizerka%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych
D433630-DD-Mat,Paweł Piasecki,,Piasecki,,,https://researchportal.amu.edu.pl/info/author/D433630-DD-Mat?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BPawe%25C5%2582%2BPiasecki%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych
UAM106647,dr Hubert Przybycień,dr,Hubert,Przybycień,adiunkt,https://researchportal.amu.edu.pl/info/author/UAM106647?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BHubert%2BPrzybycie%25C5%2584%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych
UAM11189,prof. UAM dr hab. Kazimierz Wiertelak,prof. UAM dr hab.,Kazimierz,Wiertelak,profesor Senior,https://researchportal.amu.edu.pl/info/author/UAM11189?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BKazimierz%2BWiertelak%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych
UAM156079,dr Izabela Janicka-Lipska,dr,Izabela,Janicka-Lipska,st. wykładowca,https://researchportal.amu.edu.pl/info/author/UAM156079?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BIzabela%2BJanicka-Lipska%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych
