profile_id,full_name,academic_title,first_name,last_name,position,profile_url,image_url,affiliations,orcid,google_scholar_id,google_scholar_url,scopus_id,scopus_url,europepmc,crossref,researchgate,other_links
UAM12847,prof. dr hab. Wojciech Buszkowski,prof. dr hab.,Wojciech,Buszkowski,profesor Senior,https://researchportal.amu.edu.pl/info/author/UAM12847?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BWojciech%2BBuszkowski%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych,0000-0002-2950-0864,C2zchKsAAAAJ,https://scholar.google.pl/citations?user=C2zchKsAAAAJ,via_orcid,https://www.scopus.com/results/authorNamesList.uri?orcidId=0000-0002-2950-0864,http://europepmc.org/search?query=%28AUTHORID%3A%220000-0002-2950-0864%22%29,https://search.crossref.org/?q=0000-0002-2950-0864,,
UAM26963,dr Wiesław Kurc,dr,Wiesław,Kurc,st. wykładowca,https://researchportal.amu.edu.pl/info/author/UAM26963?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BWies%25C5%2582aw%2BKurc%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych,,,,14034397800,https://www.scopus.com/authid/detail.uri?authorId=14034397800,,,,
D448311-DD-Mat,dr Andrzej Kokosza,dr,Andrzej,Kokosza,,https://researchportal.amu.edu.pl/info/author/D448311-DD-Mat?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BAndrzej%2BKokosza%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych,0000-0002-8578-8997,,,via_orcid,https://www.scopus.com/results/authorNamesList.uri?orcidId=0000-0002-8578-8997,http://europepmc.org/search?query=%28AUTHORID%3A%220000-0002-8578-8997%22%29,https://search.crossref.org/?q=0000-0002-8578-8997,,
UAM99822,dr Piotr Majcher,dr,Piotr,Majcher,adiunkt,https://researchportal.amu.edu.pl/info/author/UAM99822?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BPiotr%2BMajcher%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych,,,,10339318200,https://www.scopus.com/authid/detail.uri?authorId=10339318200,,,,
D372001-DD-Mat,Joanna Kończak,,Kończak,,,https://researchportal.amu.edu.pl/info/author/D372001-DD-Mat?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BJoanna%2BKo%25C5%2584czak%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych,,,,,,,,,
D433412-DD-Mat,dr inż. Piotr Mizerka,dr inż.,Piotr,Mizerka,adiunkt,https://researchportal.amu.edu.pl/info/author/D433412-DD-Mat?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BPiotr%2BMizerka%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych,0000-0001-5712-8513,,,via_orcid,https://www.scopus.com/results/authorNamesList.uri?orcidId=0000-0001-5712-8513,http://europepmc.org/search?query=%28AUTHORID%3A%220000-0001-5712-8513%22%29,https://search.crossref.org/?q=0000-0001-5712-8513,,
D433630-DD-Mat,Paweł Piasecki,,Piasecki,,,https://researchportal.amu.edu.pl/info/author/D433630-DD-Mat?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BPawe%25C5%2582%2BPiasecki%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych,,,,57210862283,https://www.scopus.com/authid/detail.uri?authorId=57210862283,,,,
UAM106647,dr Hubert Przybycień,dr,Hubert,Przybycień,adiunkt,https://researchportal.amu.edu.pl/info/author/UAM106647?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BHubert%2BPrzybycie%25C5%2584%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych,0000-0002-7125-6113,,,via_orcid,https://www.scopus.com/results/authorNamesList.uri?orcidId=0000-0002-7125-6113%20,http://europepmc.org/search?query=%28AUTHORID%3A%220000-0002-7125-6113%20%22%29,https://search.crossref.org/?q=0000-0002-7125-6113%20,,
UAM11189,prof. UAM dr hab. Kazimierz Wiertelak,prof. UAM dr hab.,Kazimierz,Wiertelak,profesor Senior,https://researchportal.amu.edu.pl/info/author/UAM11189?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BKazimierz%2BWiertelak%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych,,,,16403957000,https://www.scopus.com/authid/detail.uri?authorId=16403957000,,,,
UAM156079,dr Izabela Janicka-Lipska,dr,Izabela,Janicka-Lipska,st. wykładowca,https://researchportal.amu.edu.pl/info/author/UAM156079?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BIzabela%2BJanicka-Lipska%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych,,,,25723310800,https://www.scopus.com/authid/detail.uri?authorId=25723310800,,,,
UAM190936,dr Piotr Rzonsowski,dr,Piotr,Rzonsowski,adiunkt,https://researchportal.amu.edu.pl/info/author/UAM190936?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BPiotr%2BRzonsowski%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydział Matematyki i Informatyki; Szkoła Nauk Ścisłych,,,,56436842800,https://www.scopus.com/authid/detail.uri?authorId=56436842800,,,,
