Konfiguracja 1,Konfiguracja 2,Średnie nakładanie,Odch. std (overlap),Jaccard similarity,Odch. std (Jaccard),Naukowcy
MiniLM-L6_abstract,MiniLM-L12_abstract,0.8729,0.1157,0.7915,0.1679,107
MiniLM-L6_title,MiniLM-L12_title,0.8720,0.1126,0.7895,0.1664,107
MiniLM-L6_title,MPNet-Base_title,0.8533,0.1179,0.7617,0.1726,107
MPNet-Base_title,MiniLM-L12_title,0.8467,0.1306,0.7551,0.1858,107
MiniLM-L6_abstract,MPNet-Base_abstract,0.8458,0.1146,0.7491,0.1654,107
MPNet-Base_abstract,MiniLM-L12_abstract,0.8374,0.1301,0.7394,0.1736,107
BGE-Small_title,BGE-Small_abstract,0.8383,0.1091,0.7359,0.1533,107
MPNet-Base_title,MPNet-Base_abstract,0.8234,0.1220,0.7173,0.1702,107
MiniLM-L12_title,MiniLM-L12_abstract,0.8084,0.1435,0.7018,0.1962,107
MPNet-Base_title,MiniLM-L12_abstract,0.8065,0.1416,0.6983,0.1917,107
MiniLM-L6_abstract,MPNet-Base_title,0.7981,0.1460,0.6884,0.2023,107
MiniLM-L6_title,MiniLM-L12_abstract,0.7991,0.1437,0.6882,0.1928,107
MiniLM-L6_title,MiniLM-L6_abstract,0.7953,0.1423,0.6826,0.1921,107
MiniLM-L6_title,MPNet-Base_abstract,0.7794,0.1372,0.6589,0.1824,107
MiniLM-L6_abstract,MiniLM-L12_title,0.7701,0.1692,0.6562,0.2207,107
MPNet-Base_abstract,BGE-Small_abstract,0.7692,0.1614,0.6505,0.1990,107
MPNet-Base_abstract,MiniLM-L12_title,0.7607,0.1527,0.6383,0.1999,107
MiniLM-L12_abstract,BGE-Small_abstract,0.7607,0.1527,0.6368,0.1889,107
MiniLM-L12_title,BGE-Small_title,0.7579,0.1498,0.6325,0.1863,107
MiniLM-L6_abstract,BGE-Small_abstract,0.7467,0.1720,0.6230,0.2016,107
MiniLM-L6_title,BGE-Small_title,0.7477,0.1573,0.6207,0.1906,107
MPNet-Base_title,BGE-Small_title,0.7458,0.1542,0.6174,0.1877,107
