orcid,total_works,with_abstract,without_abstract,abstract_percentage,with_doi,without_doi,doi_percentage,total_citations,avg_citations_per_work
0000-0002-2950-0864,76,21,55,27.6%,65,11,85.5%,1002,13.2
0000-0002-8578-8997,5,5,0,100.0%,5,0,100.0%,47,9.4
0000-0001-5712-8513,21,18,3,85.7%,19,2,90.5%,44,2.1
0000-0002-7125-6113,2,2,0,100.0%,2,0,100.0%,2,1.0
0000-0002-2392-4869,222,57,165,25.7%,184,38,82.9%,450,2.0
0000-0003-4265-7353,16,14,2,87.5%,16,0,100.0%,22,1.4
0000-0002-2445-2189,15,11,4,73.3%,15,0,100.0%,55,3.7
0000-0001-6024-6852,2,2,0,100.0%,2,0,100.0%,49,24.5
0009-0000-1234-6728,5,1,4,20.0%,5,0,100.0%,1,0.2
0000-0001-6868-8815,22,15,7,68.2%,21,1,95.5%,186,8.5
0009-0001-9764-4798,88,56,32,63.6%,81,7,92.0%,4327,49.2
0000-0002-3517-9034,247,137,110,55.5%,232,15,93.9%,10048,40.7
0000-0002-9969-5257,138,99,39,71.7%,121,17,87.7%,1913,13.9
0000-0002-1648-6987,92,14,78,15.2%,88,4,95.7%,1884,20.5
0000-0003-2255-9449,68,42,26,61.8%,58,10,85.3%,672,9.9
0000-0002-2897-3176,74,34,40,45.9%,65,9,87.8%,481,6.5
0000-0003-1385-6572,28,12,16,42.9%,27,1,96.4%,290,10.4
0000-0001-6988-5407,27,10,17,37.0%,26,1,96.3%,325,12.0
0000-0002-4182-4386,61,49,12,80.3%,45,16,73.8%,440,7.2
0000-0002-6613-9078,34,22,12,64.7%,32,2,94.1%,165,4.9
0000-0002-2374-346X,54,47,7,87.0%,49,5,90.7%,821,15.2
0000-0002-1186-9612,46,19,27,41.3%,32,14,69.6%,154,3.3
0000-0003-3542-8982,34,18,16,52.9%,31,3,91.2%,493,14.5
0000-0003-2120-2595,29,14,15,48.3%,27,2,93.1%,376,13.0
0000-0002-0777-9163,54,34,20,63.0%,45,9,83.3%,278,5.1
0000-0002-4927-9992,31,21,10,67.7%,28,3,90.3%,209,6.7
0000-0003-1807-0704,46,30,16,65.2%,31,15,67.4%,76,1.7
