,openalex_id,title,main_author_orcid,publication_year
0,W1976366395,On Action Logic: Equational Theories of Action Algebras,0000-0002-2950-0864,2006
1,W2149439075,"Infinitary Action Logic: Complexity, Models and Grammars",0000-0002-2950-0864,2008
2,W2012920920,Categorial grammars determined from linguistic data by unification,0000-0002-2950-0864,1990
3,W1770609059,Lambek Grammars Based on Pregroups,0000-0002-2950-0864,2001
4,W1996712532,Interpolation and FEP for logics of residuated algebras,0000-0002-2950-0864,2010
5,W1568029361,Nonassociative Lambek Calculus with Additives and Context-Free Languages,0000-0002-2950-0864,2009
6,W2023151831,Type Logics and Pregroups,0000-0002-2950-0864,2007
7,W110913329,Mathematical Linguistics and Proof Theory,0000-0002-2950-0864,1997
8,W2549671079,On Classical Nonassociative Lambek Calculus,0000-0002-2950-0864,2016
9,W1590164729,On the Complexity of the Equational Theory of Relational Action Algebras,0000-0002-2950-0864,2006
10,W2793576694,Lambeck calculus and substructural logics,0000-0002-2950-0864,2010
11,W1513699075,Generative Power of Categorial Grammars,0000-0002-2950-0864,1988
12,W202710912,Type Logics in Grammar,0000-0002-2950-0864,2003
13,W1522830053,Pregroups: Models and Grammars,0000-0002-2950-0864,2002
14,W1487804712,A representation theorem for co-diagonalizable algebras,0000-0002-2950-0864,2004
15,W3141741543,Lambek Calculus with Classical Logic,0000-0002-2950-0864,2021
16,W2908417177,On Involutive Nonassociative Lambek Calculus,0000-0002-2950-0864,2019
17,W2339182157,Syntactic Categories and Types: Ajdukiewicz and Modern Categorial Grammars,0000-0002-2950-0864,2016
18,W2807865624,Categorial Grammars and Their Logics,0000-0002-2950-0864,2018
19,W2072558524,The finite model property for BCI and related systems,0000-0002-2950-0864,1996
20,W2100232191,Sequent systems for compact bilinear logic,0000-0002-2950-0864,2003
21,W2024895805,Finite Models of Some Substructural Logics,0000-0002-2950-0864,2002
22,W1515040640,Representation of Residuated Semigroups in Some Algebras of Relations (The Method of Canonical Models),0000-0002-2950-0864,1997
23,W224755766,Indiscernibility-Based Formalization of Dependencies in Information Systems,0000-0002-2950-0864,1998
24,W1523621310,Approximation Spaces and Definability for Incomplete Information Systems,0000-0002-2950-0864,1998
25,W2009505607,Extending Lambek grammars to basic categorial grammars,0000-0002-2950-0864,1996
26,W171222612,Lambek Calculus with Nonlogical Axioms,0000-0002-2950-0864,2009
27,W2799750375,Involutive Nonassociative Lambek Calculus: Sequent Systems and Complexity,0000-0002-2950-0864,2017
28,W56703152,An Interpretation of Full Lambek Calculus in Its Variant without Empty Antecedents of Sequents,0000-0002-2950-0864,2014
29,W1587391249,On the complexsity of some substructural logics.,0000-0002-2950-0864,2008
30,W21402745,"The Ajdukiewicz Calculus, Polish Notation and Hilbert-Style Proofs",0000-0002-2950-0864,1998
31,W1210449879,Some Syntactic Interpretations in Different Systems of Full Lambek Calculus,0000-0002-2950-0864,2015
32,W1535705504,Pregroup Grammars with Letter Promotions,0000-0002-2950-0864,2010
33,W193361031,Multi-Sorted Residuation,0000-0002-2950-0864,2014
34,W4248721914,Finite Models of Some Substructural Logics,0000-0002-2950-0864,2002
35,W74102216,The Logic of Types,0000-0002-2950-0864,1987
36,W76185166,Algebraic Models of Categorial Grammars,0000-0002-2950-0864,1985
37,W2020695920,Gaifman's theorem on categorial grammars revisited,0000-0002-2950-0864,1988
38,W4240542721,Presuppositional completeness,0000-0002-2950-0864,1989
39,W124990216,Principles of Categorial Grammar in the Light of Current Formalisms,0000-0002-2950-0864,1989
40,W1986939718,Grammatical structures and logical deductions,0000-0002-2950-0864,2003
41,W1519939967,Relational Models of Lambek Logics,0000-0002-2950-0864,2003
42,W1748149041,Rough Sets and Learning by Unification,0000-0002-2950-0864,2007
43,W2526440792,Pregroups: Models and Grammars,0000-0002-2950-0864,2009
44,W4380027837,Incomplete Information Systems and Kleene 3-Valued Logic,0000-0002-2950-0864,1997
45,W159519339,Relations between Sets of Time Points and Quasi-Linear Orderings,0000-0002-2950-0864,1997
46,W2106699061,STRONG GENERATIVE CAPACITY OF CLASSICAL CATEGORIAL GRAMMARS,0000-0002-2950-0864,2005
47,W2347184389,GENERA TIVE POWER OF CA TEGORIAL GRAMMARS,0000-0002-2950-0864,1988
48,W3136905166,Extensions of Lambek Calculi,0000-0002-2950-0864,2021
49,W2962943212,Formal description of plant morphogenesis,0000-0002-8578-8997,2019
50,W4400819714,Scintilla: Simulating Combustible Vegetation for Wildfires,0000-0002-8578-8997,2024
51,W4388911944,Tree architecture: A strigolactone-deficient mutant reveals a connection between branching order and auxin gradient along the tree stem,0000-0002-8578-8997,2023
52,W4416202628,Self-organization of vascular strands drives their patterning in the Arabidopsis shoot apex,0000-0002-8578-8997,2025
53,W7104727660,Self-organization of vascular strands drives their patterning in the Arabidopsis shoot apex,0000-0002-8578-8997,2025
